Campaign,Impressions,Clicks,Click Rate (CTR)
70768168 - CPC - Standard,8257317,4120,0.05%
77540142 - CPM - Standard,395886,345,0.09%
10985626 - CPM - Standard,1237080,1112,0.09%
83826123 - CPM - Standard,296942,259,0.09%
83973919 - CPM - Mobile,253734,619,0.24%
73020645 - CPM - Standard,353560,255,0.07%
82213644 - CPM - Standard,119208,79,0.07%
68627733 - CPM - Standard,2365185,492,0.02%
90619909 - CPM - Standard,1546154,339,0.02%
55372878 - CPM - Standard,471028,234,0.05%
99508786 - CPM - Standard,657807,448,0.07%
15678944 - CPM - Standard,935542,295,0.03%
78865603 - CPM - IBV,36675,11,0.03%
78295544 - CPM - IBV,48036,29,0.06%
14888690 - CPM - IBV,40901,17,0.04%
52607027 - CPM - Standard,578311,199,0.03%
19348099 - CPM - Standard,445245,119,0.03%
94010759 - CPM - Standard,428166,156,0.04%
17592908 - CPM - Standard,128316,55,0.04%
